X,Y,objectid,featuretype,description,class,name,operationalstatus,owner,generationtype,primaryfueltype,primarysubfueltype,generationmw,generatornumber,locality,state,spatialconfidence,revised,comment_,ga_guid,x_coordinate,y_coordinate
115.76613174,-32.222518613,69,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana Cogeneration,Operational,International Power Plc & Mitsui & Co Ltd & Transfield,Cogeneration,Natural Gas,,123,2,Kwinana Beach,Western Australia,5,2016/11/24 00:00:00+00,Gas,{4462D58B-9711-45F8-8E79-CA70C19D2904},115.76613174,-32.22251861
115.77538759,-32.197282048,70,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana High Efficiency Gas Turbine Plant,Operational,Verve Energy,Gas Turbine,Natural Gas,Distillate,200,2,Naval Base,Western Australia,5,2016/11/24 00:00:00+00,Coal,{708D5925-D046-4840-8941-B0072E0003F4},115.77538759,-32.19728205
115.775162868,-32.197939509,71,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana A,Non-Operational,Synergy,Steam Subcritical,Coal,Black Coal,240,2,Naval Base,Western Australia,5,2016/11/24 00:00:00+00,Coal,{BD61E244-EE4F-469C-8273-CEA46C309EDF},115.77516287,-32.19793951
115.774712923,-32.199216006,72,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana C,Non-Operational,Synergy,Steam Subcritical,Coal,Black Coal,184,2,Naval Base,Western Australia,5,2016/11/24 00:00:00+00,Coal,{DADAB163-C867-440D-B82F-B3E7838F8645},115.77471292,-32.19921601
115.773689737,-32.2001056129999,73,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Cockburn,Operational,Verve Energy,Combined Cycle Gas Turbine,Natural Gas,,240,2,Naval Base,Western Australia,5,2016/11/24 00:00:00+00,Gas,{A5D88D5D-5400-4759-BE5E-CBF491D51DB5},115.77368974,-32.20010561
121.506552841,-30.7377963559999,74,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kalgoorlie (Parkeston),Operational,Newmount Australia / Transalta,Open Cycle,Natural Gas,Distillate,110,3,Parkeston,Western Australia,5,2016/11/24 00:00:00+00,Gas,{BA08DEC7-9463-4AF6-B601-F56D1DE002C6},121.50655284,-30.73779636
118.456578781,-31.54316389,75,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Collgar Wind Farm,Operational,UBS IIT/ REST,Wind Turbine,Wind,,206,111,Norpa,Western Australia,2,2016/11/24 00:00:00+00,Wind,{37025092-BF67-449C-B816-E3D054E834D2},118.45657878,-31.54316389
118.2270082,-31.542300332,76,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Merredin,Operational,,Open Cycle Gas Turbine,Gas,Oil,82,2,Merredin,Western Australia,3,2016/11/24 00:00:00+00,Gas,{8611320F-211A-491E-B2C8-EB8155A1CE29},118.2270082,-31.54230033
115.117709437,-28.889297927,77,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mungarra,Operational,Verve Energy,Gas Turbine,Natural Gas,,112,3,West Casuarinas,Western Australia,5,2016/11/24 00:00:00+00,,{08DD4F59-E0E1-4866-B8E7-39DEF4C294E5},115.11770944,-28.88929793
114.648492622,-28.770093663,78,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Geraldton,Operational,Verve Energy,,Natural Gas,,21,1,Woorree,Western Australia,5,2016/11/24 00:00:00+00,Gas,{C2BFDD4B-2275-4C4F-B3B2-1CCCF0C9E0C6},114.64849262,-28.77009366
117.613276919,-23.223246574,79,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Paraburdoo,Operational,Rio Tinto Australia Pty Ltd,,Natural Gas,,155,4,Innawanga,Western Australia,5,2016/11/24 00:00:00+00,Gas,{E36BE2F5-7178-4997-8A66-204183FF0ED2},117.61327692,-23.22324657
116.72191385,-20.6479715039999,80,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Dampier,Operational,Rio Tinto Australia Pty Ltd,Steam Turbine,Natural Gas,,120,3,Burrup,Western Australia,4,2016/11/24 00:00:00+00,Gas,{2382230F-6387-44A9-B7E3-B7DDC8570E3D},116.72191385,-20.6479715
