"ACHERON @ TAGGERTY","405209","VIC - Department of Energy, Environment and Climate Action","-37.31772866","145.7128865"
"ADEKATE @ CRESWICK","407238","VIC - Department of Energy, Environment and Climate Action","-37.44433032","143.9494445"
"ADEKATE @ CRESWICK","407238A","VIC - Central Highlands Water","-37.44433032","143.9494445"
"ADELONG @ BATLOW RD","410061","NSW - Water NSW","-35.3323","148.0685"
"ADELONG CK @ TUMBLON","410198","NSW - Water NSW","-35.1378","148.0076"
"ADJUNGBILLY D'BALARA","410038","NSW - Water NSW","-35.0177","148.2469"
"ADJUNGBILLY RAINFALL","573016","NSW - Water NSW","-35.05079804","148.41450939"
"AGNES @ TOORA","227211","VIC - Department of Energy, Environment and Climate Action","-38.6399743","146.3724776"
"AGROFORESTRY SITE","233250","VIC - Department of Energy, Environment and Climate Action","-38.4480865","143.7313122"
"AIRE @ BEECH FOREST","235209","VIC - Department of Energy, Environment and Climate Action","-38.66849499","143.5812749"
"AIRE @ WYELANGTA","235219","VIC - Department of Energy, Environment and Climate Action","-38.7031718","143.4772919"
"AK1 Pipe","809325","WA - Department of Water and Environmental Regulation","-16.689100634","128.387856028"
"ALBERT @ HIAWATHA","227216","VIC - Department of Energy, Environment and Climate Action","-38.5274","146.4707"
"ALBION PARK BC","568171","NSW - Sydney Water Corporation (Sydney Water)","-34.5703","150.7684"
"ALCORNS","2122341","NSW - Water NSW","-34.520614","150.507645"
"ALDERMAN @ ROAD 33","229650B","VIC - Melbourne Water Corporation (Melbourne Water)","-37.7216","145.94"
"ALDGATE CK @ Aldgate Rly Station","A5030509.1","SA - South Australian Water Corporation (SA Water)","-35.014825414718","138.73155434543"
"ALLAMBEE SOUTH","502254A","VIC - Melbourne Water Corporation (Melbourne Water)","-38.32578744","146.05501442"
"ALLANS CREEK US TARANNA","2216.1","TAS - Department of Natural Resources and Environment Tasmania","-43.072764","147.891638"
"ALLENVALE RES H.G.","235256","VIC - Department of Energy, Environment and Climate Action","-38.53793069","143.9449143"
"ALLYN @ FLYINGFOX LN","210143","NSW - Water NSW","-32.5165844","151.584259"
"ALLYN RIVER @ HALTON","210022","NSW - Water NSW","-32.3063","151.5129"
"ALTONA RG","587047","VIC - Melbourne Water Corporation (Melbourne Water)","-37.8709","144.79"
"ALUM@JONES PLAIN RD","41000271","NSW - Water NSW","-35.999783506","148.951692032"
"AM10B","61715049","WA - Department of Water and Environmental Regulation","-31.433063896","115.866106116"
"AM10C","61715050","WA - Department of Water and Environmental Regulation","-31.432977151","115.865948176"
"AM13C","61715037","WA - Department of Water and Environmental Regulation","-31.475479224","115.683658064"
"AM14C","61615152","WA - Department of Water and Environmental Regulation","-31.479524717","115.80784551"
"AM14D","61615153","WA - Department of Water and Environmental Regulation","-31.479533852","115.807789812"
"AM14E","61615154","WA - Department of Water and Environmental Regulation","-31.479575097","115.807965931"
"AM17B","61615157","WA - Department of Water and Environmental Regulation","-31.538637061","115.781109346"
"AM17C","61615158","WA - Department of Water and Environmental Regulation","-31.53858498","115.781116027"
"AM18B","61615161","WA - Department of Water and Environmental Regulation","-31.534849975","115.946188144"
"AM20B","61672159","WA - Department of Water and Environmental Regulation","-31.645568893","115.705598213"
"AM20C","61672164","WA - Department of Water and Environmental Regulation","-31.645569941","115.705701544"
"AM21B","61615159","WA - Department of Water and Environmental Regulation","-31.595961153","115.81204146"
"AM21C","61615160","WA - Department of Water and Environmental Regulation","-31.595843839","115.812076572"
"AM22C","61615150","WA - Department of Water and Environmental Regulation","-31.617013655","115.895385562"
"AM22D","61615151","WA - Department of Water and Environmental Regulation","-31.617044195","115.895370125"
"AM23B","61615172","WA - Department of Water and Environmental Regulation","-31.687592426","115.727231961"
"AM23C","61615173","WA - Department of Water and Environmental Regulation","-31.687549356","115.727212756"
"AM24B","61615162","WA - Department of Water and Environmental Regulation","-31.706612738","115.822577041"
"AM24C","61615171","WA - Department of Water and Environmental Regulation","-31.706611806","115.822427313"
"AM25B","61615186","WA - Department of Water and Environmental Regulation","-31.676245164","115.905375316"
"AM25C","61615185","WA - Department of Water and Environmental Regulation","-31.676273503","115.90533458"
"AM26D","61622199","WA - Department of Water and Environmental Regulation","-31.655591291","115.998577699"
"AM26E","61615134","WA - Department of Water and Environmental Regulation","-31.656430843","115.99702607"
"AM26F","61622198","WA - Department of Water and Environmental Regulation","-31.655481285","115.998573712"
"AM27C","61615182","WA - Department of Water and Environmental Regulation","-31.76979338","115.783766613"
"AM27D","61615164","WA - Department of Water and Environmental Regulation","-31.769831982","115.783794092"
"AM27E","61615165","WA - Department of Water and Environmental Regulation","-31.769870858","115.783821883"
"AM28A","61615117","WA - Department of Water and Environmental Regulation","-31.765303246","115.865793663"
"AM29B","61672192","WA - Department of Water and Environmental Regulation","-31.7116903","115.968374544"
"AM29C","61672193","WA - Department of Water and Environmental Regulation","-31.711691659","115.968430989"
"AM30D","61615166","WA - Department of Water and Environmental Regulation","-31.791434193","115.978267944"
"AM30X","61615156","WA - Department of Water and Environmental Regulation","-31.813004261","115.916431249"
"AM32Y","61615132","WA - Department of Water and Environmental Regulation","-31.865867373","115.763557496"
"AM33C","61615147","WA - Department of Water and Environmental Regulation","-31.834515832","115.78670923"
"AM34B","61672162","WA - Department of Water and Environmental Regulation","-31.867298186","115.887678399"
"AM34C","61672163","WA - Department of Water and Environmental Regulation","-31.867304433","115.887598409"
"AM35B","61617258","WA - Department of Water and Environmental Regulation","-31.853268006","115.974904006"
"AM35C","61617259","WA - Department of Water and Environmental Regulation","-31.85320947","115.974905605"
"AM36D","61672218","WA - Department of Water and Environmental Regulation","-31.894212175","115.807502209"
"AM36E","61615163","WA - Department of Water and Environmental Regulation","-31.89428237","115.807566894"
"AM38B","61672230","WA - Department of Water and Environmental Regulation","-31.912057035","115.990097148"
"AM39A","61672215","WA - Department of Water and Environmental Regulation","-31.97379912","115.779519547"
"AM5B","61715041","WA - Department of Water and Environmental Regulation","-31.37591257","115.690584432"
"AM5C","61715042","WA - Department of Water and Environmental Regulation","-31.375909851","115.690539044"
"AM6B","61715043","WA - Department of Water and Environmental Regulation","-31.362362564","115.811931255"
"AM6C","61715044","WA - Department of Water and Environmental Regulation","-31.362320803","115.812010318"
"AM8B","61715045","WA - Department of Water and Environmental Regulation","-31.421995209","115.621875646"
"AM9B","61715047","WA - Department of Water and Environmental Regulation","-31.42645774","115.747713952"
"AM9C","61715048","WA - Department of Water and Environmental Regulation","-31.426411013","115.747769808"
"AMPHITHEATRE RES. HG","408216A","VIC - Central Highlands Water","-37.17323546","143.3774979"
"ANABRANCH AT TARA DO","425054","NSW - Water NSW","-33.92773","141.74199"
"ANABRANCH D/S 183","425053","NSW - Water NSW","-33.457974","141.80655"
"ANABRANCH U/S 183","425052","NSW - Water NSW","-33.44666444","141.805266"
"ANABRANCH@OFFTAKE","425050","NSW - Water NSW","-32.8830555","142.3538888"
"ANDERSONS CREEK U/S KELSO ROAD","18200.1","TAS - Department of Natural Resources and Environment Tasmania","-41.166966","146.77123"
"ANGLESEA @ ANGLESEA","235222","VIC - Department of Energy, Environment and Climate Action","-38.389691603","144.172988764"
"ANGLESEA R GR OCEAN","235278","VIC - Department of Energy, Environment and Climate Action","-38.40507409","144.1861279"
"ANGLESEA RIVER (MARSHY CREEK) @ ALCOA","235260","VIC - Department of Energy, Environment and Climate Action","-38.386024853","144.177481455"
"ANGLESEA RIVER @ GUMFLATS ROAD","235277","VIC - Department of Energy, Environment and Climate Action","-38.345611773","144.148288202"
"ANGLESEA SWAMP @ VEGETATION SITE P7 TRANSECT","235280","VIC - Department of Energy, Environment and Climate Action","-38.35777475","144.172068731"
"ANGLESEA WETLANDS @ ALLARDYLE TRACK","235272","VIC - Department of Energy, Environment and Climate Action","-38.381828384","144.17271132"
"ANNANGROVE","567105","NSW - Sydney Water Corporation (Sydney Water)","-33.676","150.9629"
"ANSONS RIVER DS BIG BOGGY CREEK","2214.1","TAS - Department of Natural Resources and Environment Tasmania","-41.046377","148.21736"
"ANTIENE CK @ LIDDELL","210076","NSW - Water NSW","-32.336248081","150.982413347"
"APPIN (INGHAMS) TBRG","568167","NSW - Water NSW","-34.174361","150.773767"
"APSLEY APSLEY FALLS","206018","NSW - Water NSW","-31.0504","151.7691"
"APSLEY APSLEY GORGE","206033","NSW - Water NSW","-30.970686","152.008935"
"APSLEY RIVER US COLES BAY ROAD BRIDGE","2204.1","TAS - Department of Natural Resources and Environment Tasmania","-41.938907","148.23685"
"AQUARIUM AVE HEMMANT","BMA591","QLD - Brisbane City Council","-27.4394","153.1266"
"ARALUEN @ NERINGLA","217006","NSW - Water NSW","-35.6568","149.807"
"ARDMONA @ RETARDING","405721","VIC - Department of Energy, Environment and Climate Action","-36.32350531","145.2962241"
"ARDMONA MD RETARDING","405753","VIC - Department of Energy, Environment and Climate Action","-36.34970014","145.2949291"
"ARKINS @ WYELANGTA","235205","VIC - Department of Energy, Environment and Climate Action","-38.63955922","143.4431397"
"ARM RIVER - ABOVE MERSEY","624.1","TAS - Hydro-electric Corporation (Hydro Tasmania)","-41.68944444","146.2155"
"ARMSTRONG CREEK EAST","229107","VIC - Department of Energy, Environment and Climate Action","-37.63833333","145.8666667"
"ARMSTRONG U/S WEIR","229104C","VIC - Melbourne Water Corporation (Melbourne Water)","-37.6334","145.862"
"ARMY CAMP ROAD RB","229628A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.68027054","144.93650533"
"ARTHUR RIVER BELOW RAPID RIVER","159.1","TAS - Department of Natural Resources and Environment Tasmania","-41.122323","145.07864"
"ARTHURS C-ARTHURS CK","229620A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.581975978","145.20623068"
"ARTHURS CK-NUTFIELD","229272A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.598","145.183"
"ARTHURS LAKE - AT PUMP STATION","418.1","TAS - Hydro-electric Corporation (Hydro Tasmania)","-41.98830556","146.8624722"
"ARTHURS SEAT RG","586202","VIC - Melbourne Water Corporation (Melbourne Water)","-38.3566","144.949"
"ASPLEY RESERVOIR","LCR566","QLD - Brisbane City Council","-27.373943","153.009486"
"ATKINS BORE OFF BLACKS ROAD WESLEY VALE","5540.1","TAS - Department of Natural Resources and Environment Tasmania","-41.191965","146.448636"
"ATTADALE CREEK @ Upstream of Attadale Runaway Hole","A2390546","SA - South Eastern Water Conservation and Drainage Board","-37.129213","140.949024"
"AUGUSTA LAKE - AT INTAKE","155.1","TAS - Hydro-electric Corporation (Hydro Tasmania)","-41.84444444","146.5722222"
"AUGUSTA LAKE EAST - No.1 SITE","972.1","TAS - Hydro-electric Corporation (Hydro Tasmania)","-41.84305556","146.5783333"
"AUSTIN ROAD","228715A","VIC - Melbourne Water Corporation (Melbourne Water)","-38.1054152","145.13570599"
